"#","Server","Name","UP","Guild Identifier","Guild Link Identifier","Guild ID","Guild Rank","Guild Description","Guild Raids","Guild Portal Floor","Guild Portal Life","Guild Portal Percent","Guild Honor","Guild Knights","Guild Treasure","Guild Instructor","Guild Hydra","Guild Member Count","Guild Attacking","Guild Attacking ID","Guild Defending","Guild Defending ID","Guild Knights 15+","Guild Pet Level","Guild Pet","Guild Pet Class","Guild Pet Strength","Guild Pet Dexterity","Guild Pet Intelligence","Guild Pet Constitution","Guild Pet Luck","Guild Member Count","Timestamp","Guild GT Rank","Guild GT Tokens"
"15","S9 .EU","DARE-DEVIL","","s9_eu_g2116","s9_eu_g2116","2116","5","{PL}                        >>>>>> DARE - DEVIL <<<<<<                     {PL}\n{PL}                          >>> Devils Academy <<<                        {PL}\n============================================================\n\n                   \n\n                           \n                         https://discord.gg/94PDR8QesU\n============================================================\n\nWYMAGANIA:\n\n– Mount: 50%\n\n– Gold/EXP: 10/10\n\n– HOK: 20\n\n– Klaser: 90%\n\n– pet: 500\n\n============================================================\n\nDare-Devil to nie gildia - to siła.  \n\nZorganizowana ekipa, zaangażowana liderówka i klimat, który wciąga.  \n\nJeśli chcesz czegoś więcej niż tylko klikania - jesteśmy tutaj.\n\nW legendzie opowiadano o rycerzach, którzy stąpali po krawędzi piekła.  \n\nNie zginęli - po prostu dołączyli do nas.\n\n============================================================","66","50","0","100","14 765","1000","200","200","12","50","No","0","Yes","55","50","492","80","1","280 367","6 824","6 937","215 319","88 073","50","21.02.2026 15:44","4","1 219 463"
"16","S9 .EU","Albánská mafie","","s9_eu_g3087","s9_eu_g3087","3087","6","   CZ/SK             VÍTEJTE  V  NAŠÍ  MAFII\n\nRádi přijmeme aktivní hráče, kteří si přišli užít hru se skvělou partou hráčů. Pro žádost o vstup pište Pilkovi\t\n\nPravidla máme jen dvě:\n1). Aktivita v bojích a nájezdech\n2). Leveluj dle svých možností, ale leveluj... \n\nVyhazov je možný po dvou dnech neaktivity.\n\n","107","50","0","100","13 973","960","200","200","13","48","No","0","Yes","51","48","479","20","3","8 466","243 369","8 393","199 349","81 696","48","21.02.2026 15:44","6","652 878"
"17","S9 .EU","RAW POWER","","s9_eu_g51","s9_eu_g51","51","7","           --Üdvözöllek szomjas Vándor!\nCéhünk tagjai egytől-egyig alkoholisták és addig isszák a sört a fogadóban míg adnak nekik.\nCélunk egy fejlődő és segítő közösség létrehozása.\nJelentkezés nálam és a tiszteknél normális megfogalmazott levéllel.\nBónuszaink folyamatosan emelkednek előre megyünk nem hátra.\n                               NYERS ERŐ MINDENEK ELŐTT \nGold: 200,0%\nExp: 200,0% \nHoK: 1000\nRaids: 86/150\nPortal bonus: maximum %\nHydra: 7\nmost commonly used languages: HUN,ENG\nHonnan jön a név; Tiktok szaraw_balint","98","50","0","100","11 630","979","200","200","10","49","Yes","3087","Yes","2901","49","464","40","3","6 379","219 393","6 462","172 188","75 919","49","21.02.2026 15:44","8","590 754"
"18","S9 .EU","Pysiakowo","","s9_eu_g55","s9_eu_g55","55","8",")-----------------------------------------------------------(                                          \n                                        \n                                          ~Pysiakowo~\n\n                                \n                                ~Psz3m0c is a legend <3~\n                                \n\n)-----------------------------------------------------------(\nBonuses:\n• Exp/Gold - 200%\n• Hok - 1000\n• Portal - 50%\n• Hydra - 8\n)-----------------------------------------------------------(\nRequirements:\n• 395lvl+\n• hok 20\n• 25% mount\n• Participating in daily fights 2 times \n• Pet level 400+\n• 3 potions at all times\n• Scrapbook 90%\n)-----------------------------------------------------------(\n\n                   Two days of unannouced absence = kick\n\n)-----------------------------------------------------------(\n\n                       ~New Players Are Always Welcome~\n\n)-----------------------------------------------------------(","51","50","0","100","11 624","995","200","200","9","50","Yes","2116","Yes","41","50","458","39","2","8 848","8 914","202 768","167 925","74 939","50","21.02.2026 15:44","7","620 455"
"19","S9 .EU","Schwarzer Stier","","s9_eu_g3260","s9_eu_g3260","3260","9","----------Herzlich Willkommen beim schwarzen Stier---------\n\n>~~~~~~~~~~~~~~~Held der Woche  \"Mcelen\"~~~~~~~~~~~~<\n\n               \n\nInteresse an wahnsinnigen Schlachten und ~~~~~~~~~~~~~~~\nWir vom Schwarzen Stier bieten dir momentan:\n>Wöchentliche Gildenauswertung\n>Wöchentliche Krönung des Held der Woche\n>Gildenkämpfe täglich frühs/Abends\n>Goldschatz : 200,0%\n>Lehrmeister: 200,0%\n>Ritterpunkte: 1000\n>Schwarze Steine \n\n\nUnd wenn du bis hier noch Interesse hast schreib einfach ein Offi oder mich, Selion an. Dann freuen wir uns, dich bei uns zu begrüßen.\n\nBis Baldrian :*\n\nxxxxxxxxAktuelle freie Plätze in Aussicht: \"1\"xxxxxxxxxxx","97","50","0","100","10 970","1000","200","200","8","50","Yes","11","Yes","5311","50","450","20","3","9 038","170 936","9 012","143 676","62 883","50","21.02.2026 15:44","9","555 163"
"20","S9 .EU","Alkoholici","","s9_eu_g101","s9_eu_g101","101","10","                               *** ALKOHOLICI ***\n\nHok 1000\t  \t     Černé gemy 50%\t\t      Bonusy 200%\n-------------------------------------------------------------\n\u000b * Delší neaktivitu je potřeba dopředu nahlásit\u000b * Nenahlášená aktivita delší jak 2 dny = kick\u000b * Máme dobrovolnou cechovní skupinu na messengeru. \n   Pro přijetí do skupiny napište hráči Vidy \u000b\u000b                           Cech založen: 5.1.2024","96","50","0","100","10 908","1000","200","200","8","50","No","0","Yes","169","50","449","40","3","8 530","181 258","8 655","150 002","67 950","50","21.02.2026 15:44","11","416 317"
"21","S8 .EU","All That Matters","","s8_eu_g1","s8_eu_g1","1","1","                                        All That Matters\n                                                \n                                                CZ/SK\n                                                    \n                                            [17.11.2023]  \n\n           So close no matter how far, Couldn't be much more     \n\n                                         from the heart. \n\n                            Forever trustin' who we are, and \n\n                                     Nothing Else Matters\n\n                          https://discord.gg/r8SztkeCMF\n                          \n\n\n       ","110","50","0","100","29 867","1000","200","200","19","50","No","0","Yes","878","50","543","60","1","474 203","7 335","7 383","287 437","121 083","50","21.02.2026 15:44","1","3 014 218"
"22","S8 .EU","Freedom","","s8_eu_g46","s8_eu_g46","46","2","Gold/XP :   200%            Freedom    -   Eu8            Portaldmg: 50%\n  \n\nGER/ENG    https://discord.com/invite/3HKGUbbvuz\n                     \n\n\n             \n new records : 19       \n \n Hellevator wins: 7/8                            \n         \n                 ","110","50","0","100","29 424","1000","200","200","18","50","No","0","Yes","121","50","544","66","3","7 795","437 484","7 865","299 017","113 010","50","21.02.2026 15:44","2","2 482 890"
"23","S8 .EU","Loyal Union","","s8_eu_g277","s8_eu_g277","277","3","              oOo~~~~~~~~~~~~~~~~~~~~oOo~~~~~~~~~~~~~~~~~~oOo\n\n                                   We are LOYAL UNION\n\n              oOo~~~~~~~~~~~~~~~~~~~~oOo~~~~~~~~~~~~~~~~~~oOo\n\n       • |EXP: 200%|                                               • |GOLD: 200%|\n                                         • |PORTAL: 50%|\n\n                                       \n    • |BLACK GEMS: 50%|   • |Hydra:19 HEADED|          • |HoK: 1000|  \n                                                                       \n              oOo~~~~~~~~~~~~~~~~~~~~oOo~~~~~~~~~~~~~~~~~~oOo\n\n                                Join us! -> Loyal Union  \n\n                    Our academy is recruiting! -> Loyal Academy  \n\n              oOo~~~~~~~~~~~~~~~~~~~~oOo~~~~~~~~~~~~~~~~~~oOo ","109","50","0","100","17 520","1000","200","200","18","50","No","0","Yes","41","50","530","16","1","382 394","7 269","7 339","268 469","110 626","50","21.02.2026 15:44","3","2 009 307"
"24","S8 .EU","Necropolis","","s8_eu_g41","s8_eu_g41","41","4","  |-<>-<>-<>-<>-<>-<>-<>-============-<>-<>-<>-<>-<>-<>-<>-|\n                                Necropolis - Residents\n  |-<>-<>-<>-<>-<>-<>-<>-============-<>-<>-<>-<>-<>-<>-<>-| \n   \n        [XP  200%]             [Knights 1000]             [GOLD  200%]\n       Portal = 50%          Black gem = 50%         Hydra = 18 head\n------------------------------------------------------------\n------------------------------------------------------------\nBoni. 10/10 – HoK 20 – 320 alu – 50% Mount – daily activity\n           \t[LVL 450+]   [2d+ kick]   [SB 95+%]   [PET 600]\n         Apply here! -> https://sf.zsombey.hu/order_necro","94","50","0","100","16 857","1000","200","200","17","50","Yes","277","Yes","295","50","530","20","3","8 170","365 277","7 981","265 784","105 926","50","21.02.2026 15:44","4","1 815 146"
"25","S8 .EU","Houteiku","","s8_eu_g121","s8_eu_g121","121","5","  \n                                              CZ/SK\n\n\n\n                                   ~ We Love Shrooms ~\n\n\n\n                                  Special thanks to: NDY\n\n\n                              \n\n                                    \n\n\n\n\n\n                 ","87","50","0","100","16 752","1000","200","200","15","50","Yes","46","Yes","720","50","519","20","3","6 780","353 334","6 813","245 894","103 903","50","21.02.2026 15:44","8","910 470"
"26","S8 .EU","Sharks","","s8_eu_g878","s8_eu_g878","878","6"," \t\t\t      ---~*^^*~---\n\t\t\t\t\tSHARKS\n\t\t\t\t\t_______\n\n\tSharks move through the ocean like living questions,\n    reminding us that the unknown is often more elegant, than\n\t\t\t     the answers we chase.\n\n   In their silent persistence, they show that power need not\n      roar - sometimes it merely glides beneath the surface.\n\n\n","107","50","0","100","16 739","1000","200","200","16","50","Yes","1","Yes","930","50","527","100","3","8 173","356 725","8 222","248 391","102 597","50","21.02.2026 15:44","6","1 140 987"
"27","S8 .EU","Czarne Wąsy","","s8_eu_g293","s8_eu_g293","293","7","—————————————————————————————    Czarne Wąsy® since 17.11.2023 from Poland  |  v2 - EU#17\n—————————————————————————————\n              Who we are [link to description]:   t.ly/xcIvs\n—————————————————————————————\n                        Academy  —›  [Bar Czarne Wąsy]\n\n\n                  ¶  1 000 HoK —  non-stop\n                  ¶  Portal — 50% vol\n                  ¶  Hydra — 17x\n                  ¶  Server Discord — Strefa Wąsa;\n                   >  miejsce do integracji, relaksu i motywacji\n\n\u000b   ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n         *       Założyciele gildii:  DBZ,  Krzyś\n         *       Naczelnik ds. wymagań:  Razmuś\n         *       Rekrutacja i pomoc:  jakuboss","107","50","0","100","16 547","1000","200","200","17","50","No","0","Yes","1760","50","514","60","1","341 067","7 587","7 625","241 346","99 208","50","21.02.2026 15:44","5","1 384 876"
"28","S8 .EU","PILZHASSER","","s8_eu_g295","s8_eu_g295","295","8"," \n\n ╔══╗╚╗╔╝               ╔╝\n(¯`v´¯)\n╚`  .¸.PILZHASSER & Stammtisch Connection                         \n\n   - Nichts ist garantiert außer das die PILZHASSER bleiben -\n\n\t\t                      EU8 / EU13  \n                                                                                              \n=============================================================\nStats:  200% / 200% /  RH 1000              >>> 1 Platz frei <<<  \n=============================================================                                       \nFür Euch:\n• Aktive Gildengemeinschaft / Discord / Chat \n• Angenehme Atmosphäre, aber aufstiegsorientiert\n• Support und Hilfsbereitschaft\n\n• Dämonenportal 50%\n• Hydra 12-13 Köpfe\n• Black Gems 50% \n============================================================\n\n\n\n                            ","67","50","0","100","15 805","1000","200","200","13","50","Yes","41","Yes","363","50","510","20","3","9 682","311 450","9 719","223 675","92 174","50","21.02.2026 15:44","7","948 104"
"29","S8 .EU","Lusitanos","","s8_eu_g930","s8_eu_g930","930","9","                                       SEMPER FIDELIS\n\n       Em  honra de CaçaPutas, o nosso fundador, e primeiro líder.\n                              \n\n\n                               EXP - 200%           GOLD - 200%\n\n                                             HOK -1000\n\n                                  Portal bonus dmg [50%]\n\n\n\n\nRECRUITING  [ON] 1 Free spot.\n\n\n420+\n\n\n                                            \n\n\n\n\n","105","50","0","100","11 903","1000","200","200","12","50","Yes","878","Yes","69","50","481","80","1","251 471","7 121","7 165","195 980","79 351","50","21.02.2026 15:44","10","683 601"
"30","S8 .EU","WeLegends","","s8_eu_g363","s8_eu_g363","363","10","*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~**~*~*~*~*~*~*~*~*~*~ Bonusess 200%                WeLegends                   Portal: 50%\n*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*\n                   HoK: 1000 / heads: 8/8 / Black gems: 50%\n  \nConditions: \n- Bonusess 10/10\n~ Level 410+\n~ HoK 20\n~ Guild pet 410+\n~ Activity in fights and Hellevator\n\nIn case of interest, send request to players Wolborg\n\nBlack list - Quistík","98","50","0","100","11 111","1000","200","200","10","50","Yes","295","Yes","752","50","474","33","3","6 914","224 044","7 058","176 959","77 777","50","21.02.2026 15:44","9","764 385"
"31","S7 .EU","Polar Wolves","","s7_eu_g9","s7_eu_g9","9","1","  \n                                        + Polar Wolves +                                                                                               \n                                             \n------------------------------------------------------ \n\n                  BONUSES: 200% I 50% DMG I 1000 HoK       \n                     \n------------------------------------------------------\n\n                     Our second guild - Polar Kingdom   \n                                        \n------------------------------------------------------\n","110","50","0","100","31 592","1000","200","200","19","50","Yes","11","Yes","31","50","544","60","1","438 323","8 681","8 838","305 084","117 582","50","21.02.2026 15:44","1","3 117 561"
"32","S7 .EU","Trinity Force","","s7_eu_g11","s7_eu_g11","11","2","               \t\t    Trinity Force \n------------------------------------------------------------\n\n\t\t\t\t       We Offer\n\t  Gold: 200%  XP:200%  HOK: 1000 Black Gems: 50%\n------------------------------------------------------------\n\n\t  Der Gemüsegarten + VivaLaGamba + Aqua Vitae\n\n------------------------------------------------------------\n\n***New members coming only from our second guild, Trinity Rising. So whoever wants to play with us, needs to join Trinity Rising first.***\n\n--- If you are interested, contact our officers, or Yoris ---\n\t\t\t                            \n                                        \n","109","50","0","100","31 530","1000","200","200","19","50","No","0","Yes","9","50","546","60","1","460 762","8 515","8 133","291 895","118 315","50","21.02.2026 15:44","2","3 033 574"
"33","S7 .EU","Zmijozel","","s7_eu_g91","s7_eu_g91","91","3","                 ******** Víta vás Zmijozel********\n\nJsme nejlepší čistě Československý cech, který to chce někam dotáhnout a zároveň si užít hru .\nPodmínky pro přijetí:\nLvl 480\nSíň rytířů 20\nNáš cech nabízí:\nBonusy: 200%\nSíň rytířů: 1000\n+50% černé drahokamy\nCechovní portál ( poškození ) +50%\n\n","56","50","0","100","21 688","1000","200","200","15","50","No","0","Yes","168","50","511","100","3","8 207","343 851","8 210","236 183","100 629","50","21.02.2026 15:44","3","1 440 455"
"34","S7 .EU","Trinity Rising","","s7_eu_g31","s7_eu_g31","31","4"," \t\t\n                **Welcome to the wall of our beautiful guild!**                            \t                        \n                                         **Trinity Rising**\n\n\nWe're a great bunch of people trying to put a little more into SF than just playing for fun, but we still value our wallets!\n\n  [BONUSES]      [BLACK GEMS]\t     [KNIGHTS]   \t    [DMG]\n       200%\t                 50%\t\t         1000                50%\n\n\n            VivaLaGamba+Aqua Vitae+Der Gemüsegarten\n","97","50","0","100","17 378","997","200","200","10","50","Yes","9","No","-1","50","488","100","3","8 408","266 108","8 695","194 840","86 731","50","21.02.2026 15:44","12","405 285"
"35","S7 .EU","Baumhaus","","s7_eu_g168","s7_eu_g168","168","5","      >>>     Willkommen im BAUMHAUS   ab Lvl  450  !!!  <<<\n\n       Die Aussicht von hier oben ist einfach sensationell !!!\n       \n       Wer noch nicht bei uns ist, verpasst da wirklich was ;)\n\n Wir sind eine voll Ausgebaute Gilde !   GK ca. 7.00 & 18.00 Uhr\n\n       Unsere RHP sind noch etwas variabel, wird aber noch ;)\n\n     Discord : https://discord.gg/xhr8nHtW3T ( kein muss )\n     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n     Von unseren Anwärtern erwarten wir folgendes :\n\n     ~Level 450+!!!         ~RH 20     ~SA: > 90%   ~Pet min. 460\n      Die Teilnahme an Kämpfen wäre TOP ;)\n     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n     Bei Inaktivität ohne Abmeldung erfolgt der Rauswurf !!!\n     \n  Deine Bewerbung bitte an Puppenfee oder einen der Offis!","100","50","0","100","17 369","1000","200","200","12","50","Yes","91","Yes","851","50","479","60","1","249 705","12 797","11 009","187 859","80 646","50","21.02.2026 15:44","4","804 446"
